,x
1.2X15x10,1
1.2X16x10,0
1.2X17x10,3
1.2X18x10,3
1.2X19x10,0
1.2X20x10,3
1.2X21x10,0
1.2X22x10,3
1.2X23x10,0
1.2X24x10,0
1.2X25x10,0
1.2X26x10,0
1.2X27x10,0
1.2X28x10,0
1.2X29x10,0
1.2X30x10,0
1.2X31x10,0
1.2X32x10,0
1.2X15x11,0
1.2X16x11,1
1.2X17x11,3
1.2X18x11,0
1.2X19x11,3
1.2X20x11,3
1.2X21x11,3
1.2X22x11,0
1.2X23x11,0
1.2X24x11,0
1.2X25x11,0
1.2X26x11,0
1.2X27x11,0
1.2X28x11,0
1.2X29x11,0
1.2X30x11,1
1.2X31x11,0
1.2X32x11,1
1.2X15x12,0
1.2X16x12,1
1.2X17x12,0
1.2X18x12,0
1.2X19x12,0
1.2X20x12,0
1.2X21x12,0
1.2X22x12,0
1.2X23x12,0
1.2X24x12,0
1.2X25x12,0
1.2X26x12,0
1.2X27x12,0
1.2X28x12,0
1.2X29x12,0
1.2X30x12,0
1.2X31x12,0
1.2X32x12,1
1.2X14x13,1
1.2X15x13,0
1.2X16x13,0
1.2X17x13,0
1.2X18x13,0
1.2X19x13,0
1.2X20x13,0
1.2X21x13,0
1.2X22x13,0
1.2X23x13,0
1.2X24x13,0
1.2X25x13,0
1.2X26x13,0
1.2X27x13,0
1.2X28x13,0
1.2X29x13,0
1.2X30x13,0
1.2X31x13,0
1.2X32x13,0
1.2X14x14,1
1.2X15x14,0
1.2X16x14,0
1.2X17x14,0
1.2X18x14,0
1.2X19x14,0
1.2X20x14,0
1.2X21x14,0
1.2X22x14,0
1.2X23x14,0
1.2X24x14,0
1.2X25x14,0
1.2X26x14,0
1.2X27x14,0
1.2X28x14,0
1.2X29x14,0
1.2X30x14,0
1.2X31x14,0
1.2X32x14,0
1.2X13x15,1
1.2X14x15,1
1.2X15x15,0
1.2X16x15,0
1.2X17x15,0
1.2X18x15,0
1.2X19x15,0
1.2X20x15,0
1.2X21x15,0
1.2X22x15,0
1.2X23x15,0
1.2X24x15,0
1.2X25x15,0
1.2X26x15,0
1.2X27x15,0
1.2X28x15,0
1.2X29x15,0
1.2X30x15,0
1.2X31x15,1
1.2X32x15,1
1.2X13x16,1
1.2X14x16,1
1.2X15x16,0
1.2X16x16,0
1.2X17x16,0
1.2X18x16,0
1.2X19x16,0
1.2X20x16,0
1.2X21x16,0
1.2X22x16,0
1.2X23x16,0
1.2X24x16,0
1.2X25x16,1
1.2X26x16,0
1.2X28x16,0
1.2X29x16,0
1.2X30x16,1
1.2X31x16,1
1.2X32x16,0
1.2X12x17,1
1.2X13x17,0
1.2X14x17,0
1.2X15x17,0
1.2X16x17,0
1.2X17x17,0
1.2X18x17,0
1.2X19x17,0
1.2X20x17,0
1.2X21x17,0
1.2X22x17,0
1.2X23x17,0
1.2X24x17,0
1.2X25x17,0
1.2X26x17,0
1.2X27x17,0
1.2X28x17,0
1.2X29x17,0
1.2X30x17,0
1.2X31x17,0
1.2X32x17,0
1.2X12x18,1
1.2X13x18,0
1.2X14x18,0
1.2X15x18,0
1.2X16x18,1
1.2X17x18,0
1.2X18x18,0
1.2X19x18,0
1.2X20x18,0
1.2X21x18,0
1.2X22x18,0
1.2X23x18,0
1.2X24x18,0
1.2X25x18,0
1.2X26x18,0
1.2X27x18,0
1.2X28x18,0
1.2X29x18,0
1.2X30x18,0
1.2X31x18,0
1.2X32x18,0
1.2X13x19,1
1.2X14x19,0
1.2X15x19,1
1.2X16x19,0
1.2X17x19,0
1.2X18x19,0
1.2X19x19,0
1.2X20x19,0
1.2X21x19,0
1.2X22x19,0
1.2X23x19,0
1.2X24x19,0
1.2X25x19,0
1.2X26x19,0
1.2X27x19,0
1.2X28x19,0
1.2X29x19,0
1.2X30x19,0
1.2X31x19,0
1.2X32x19,0
1.2X12x20,1
1.2X13x20,1
1.2X14x20,1
1.2X15x20,1
1.2X16x20,0
1.2X17x20,0
1.2X18x20,1
1.2X19x20,0
1.2X20x20,0
1.2X21x20,0
1.2X22x20,0
1.2X23x20,0
1.2X24x20,0
1.2X25x20,0
1.2X26x20,0
1.2X27x20,0
1.2X28x20,0
1.2X29x20,0
1.2X30x20,0
1.2X31x20,0
1.2X32x20,0
1.2X13x21,0
1.2X14x21,1
1.2X15x21,1
1.2X16x21,0
1.2X17x21,0
1.2X18x21,0
1.2X20x21,0
1.2X21x21,0
1.2X22x21,0
1.2X23x21,0
1.2X24x21,0
1.2X25x21,0
1.2X26x21,0
1.2X27x21,0
1.2X28x21,0
1.2X29x21,0
1.2X30x21,0
1.2X31x21,0
1.2X32x21,0
1.2X16x22,1
1.2X17x22,0
1.2X18x22,0
1.2X19x22,0
1.2X20x22,0
1.2X21x22,0
1.2X22x22,0
1.2X23x22,0
1.2X24x22,0
1.2X25x22,0
1.2X26x22,0
1.2X27x22,0
1.2X28x22,1
1.2X29x22,0
1.2X30x22,1
1.2X31x22,0
1.2X32x22,0
1.2X17x23,1
1.2X18x23,0
1.2X19x23,0
1.2X20x23,0
1.2X21x23,0
1.2X22x23,0
1.2X23x23,0
1.2X24x23,0
1.2X25x23,0
1.2X26x23,0
1.2X27x23,0
1.2X28x23,0
1.2X29x23,0
1.2X30x23,0
1.2X31x23,1
1.2X32x23,0
1.2X17x24,1
1.2X18x24,0
1.2X19x24,0
1.2X20x24,0
1.2X21x24,0
1.2X22x24,0
1.2X23x24,0
1.2X24x24,0
1.2X25x24,0
1.2X26x24,0
1.2X27x24,0
1.2X28x24,0
1.2X29x24,1
1.2X30x24,0
1.2X31x24,0
1.2X32x24,0
1.2X17x25,1
1.2X19x25,1
1.2X20x25,0
1.2X21x25,0
1.2X22x25,0
1.2X23x25,0
1.2X24x25,0
1.2X25x25,0
1.2X26x25,0
1.2X27x25,0
1.2X28x25,0
1.2X29x25,0
1.2X30x25,0
1.2X31x25,1
1.2X32x25,0
1.2X20x26,1
1.2X21x26,0
1.2X22x26,0
1.2X23x26,0
1.2X24x26,0
1.2X25x26,0
1.2X26x26,0
1.2X27x26,0
1.2X28x26,0
1.2X29x26,0
1.2X30x26,0
1.2X31x26,0
1.2X32x26,0
1.2X22x27,1
1.2X23x27,0
1.2X24x27,0
